ImageId,Label
1,0
2,0
3,4
4,4
5,3
6,7
7,0
8,3
9,0
10,3
11,3
12,4
13,4
14,0
15,4
16,0
17,3
18,1
19,4
20,0
21,9
22,1
23,8
24,5
25,7
26,9
27,2
28,4
29,9
30,9
31,4
32,4
33,9
34,2
35,2
36,3
37,4
38,4
39,5
40,0
41,9
42,7
43,7
44,4
45,2
46,4
47,8
48,3
49,5
50,1
51,6
52,0
53,1
54,3
55,6
56,3
57,1
58,6
59,4
60,2
61,9
62,1
63,9
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,6
72,6
73,2
74,2
75,2
76,0
77,6
78,4
79,3
80,3
81,6
82,5
83,1
84,0
85,7
86,2
87,4
88,8
89,4
90,4
91,3
92,3
93,8
94,3
95,8
96,9
97,2
98,6
99,7
100,7
101,0
102,8
103,2
104,0
105,7
106,7
107,0
108,0
109,3
110,4
111,6
112,0
113,6
114,1
115,1
116,6
117,1
118,1
119,6
120,8
121,3
122,7
123,8
124,2
125,1
126,3
127,3
128,7
129,1
130,4
131,8
132,6
133,5
134,0
135,0
136,0
137,3
138,1
139,8
140,2
141,6
142,3
143,7
144,8
145,5
146,8
147,4
148,4
149,2
150,8
151,4
152,3
153,6
154,8
155,2
156,8
157,7
158,6
159,7
160,8
161,3
162,0
163,4
164,0
165,1
166,8
167,7
168,6
169,6
170,0
171,0
172,9
173,4
174,6
175,1
176,8
177,4
178,4
179,1
180,8
181,9
182,8
183,3
184,6
185,9
186,4
187,8
188,1
189,5
190,0
191,6
192,1
193,7
194,6
195,6
196,0
197,9
198,7
199,5
200,7
201,1
202,4
203,0
204,9
205,4
206,0
207,6
208,4
209,6
210,6
211,0
212,4
213,5
214,8
215,9
216,0
217,1
218,8
219,3
220,7
221,5
222,3
223,1
224,0
225,3
226,6
227,7
228,6
229,5
230,0
231,0
232,4
233,7
234,1
235,5
236,3
237,6
238,3
239,8
240,6
241,0
242,3
243,3
244,3
245,9
246,2
247,7
248,6
249,8
250,6
251,4
252,4
253,1
254,8
255,8
256,9
257,8
258,1
259,9
260,3
261,2
262,3
263,2
264,8
265,7
266,0
267,6
268,8
269,8
270,1
271,6
272,0
273,6
274,0
275,5
276,6
277,1
278,6
279,8
